,horizon,mse,rmse,mae,mape,coverage
2139,314 days 00:00:00.000000000,315.71025050621364,17.768237124324227,16.140959446431275,0.40011736732307873,0.09821428571428571
1817,315 days 00:00:00.000000000,316.3532402545746,17.78632171795435,16.17251408058319,0.40068013951068565,0.09375
539,315 days 00:00:00.000000000,316.4636809138453,17.78942609849585,16.176907132561798,0.4004688649551295,0.09375
216,315 days 00:00:00.000000000,317.01963483701536,17.80504520738477,16.197663166350285,0.4013061752948059,0.09375
855,315 days 00:00:00.000000000,314.61579238759725,17.737412223534673,16.142666130213634,0.3999523648757616,0.09375
2140,315 days 00:00:00.000000000,314.60191316850626,17.737020977844793,16.14231919210928,0.3990758174626196,0.09375
2141,316 days 00:00:00.000000000,315.5929402384063,17.764935694744473,16.183752441444906,0.3997085410306064,0.08928571428571429
1818,316 days 00:00:00.000000000,315.7079343077564,17.7681719461445,16.18810252078534,0.39983594182691845,0.08928571428571429
540,316 days 00:00:00.000000000,313.18899857281576,17.697146622346093,16.12691925341589,0.39824067626201803,0.08928571428571429
217,316 days 00:00:00.000000000,311.0869268787711,17.637656501893076,16.076446341530364,0.39723325664489956,0.08928571428571429
1498,316 days 00:00:00.000000000,312.5918095224591,17.680266104401795,16.129936899559855,0.39875706389194854,0.08928571428571429
1819,317 days 00:00:00.000000000,313.08312857701185,17.694155209475582,16.151828208286044,0.3989134912270395,0.08928571428571429
1499,317 days 00:00:00.000000000,312.9977946858288,17.691743686980907,16.149723829588734,0.3987102295305568,0.08928571428571429
218,317 days 00:00:00.000000000,313.4865317328309,17.705550873464254,16.16895245653199,0.39938924296997386,0.08928571428571429
1177,317 days 00:00:00.000000000,317.1543220352782,17.808827081963546,16.26891467654716,0.4017054670473697,0.08928571428571429
2142,317 days 00:00:00.000000000,316.3434189014948,17.786045622945387,16.247273818108997,0.4004300724252537,0.08928571428571429
1178,318 days 00:00:00.000000000,316.4413324224411,17.788797947653492,16.24898335432374,0.40037758586467326,0.08928571428571429
856,318 days 00:00:00.000000000,316.72203665111687,17.796686114305576,16.259598401234673,0.4006210372448363,0.08928571428571429
2143,318 days 00:00:00.000000000,317.2137325688224,17.81049501189741,16.277139660581327,0.4004017159840793,0.08928571428571429
1500,318 days 00:00:00.000000000,318.34066090866935,17.84210360099586,16.313400068814367,0.4014052606648771,0.08928571428571429
1820,318 days 00:00:00.000000000,315.44256140709723,17.760702728414135,16.248731820652203,0.39934579106596196,0.08928571428571429
1179,319 days 00:00:00.000000000,318.4687861860248,17.845693771496382,16.32224395472902,0.40136219377044313,0.08928571428571429
857,319 days 00:00:00.000000000,319.18084175127296,17.86563297930619,16.355690516940026,0.4019984527910922,0.08928571428571429
541,319 days 00:00:00.000000000,319.3286540555043,17.869769278183316,16.361711176060112,0.4018086249014142,0.08928571428571429
1501,319 days 00:00:00.000000000,320.6713178906578,17.907297894731574,16.4175368421433,0.4030328996210561,0.08482142857142858
1821,319 days 00:00:00.000000000,321.1558174237945,17.920820779858115,16.434845667085774,0.403119801035516,0.08482142857142858
858,320 days 00:00:00.000000000,321.88831952330526,17.941246320233866,16.46640062685722,0.4039608327336485,0.08482142857142858
219,320 days 00:00:00.000000000,322.07076619968547,17.94633015966455,16.47312044121961,0.4045834047321882,0.08482142857142858
542,320 days 00:00:00.000000000,322.35829459204575,17.95433915776478,16.48637573511765,0.40496524472572965,0.08482142857142858
1180,320 days 00:00:00.000000000,325.3934064093798,18.038664208011074,16.56065325712122,0.40698746925493345,0.08482142857142858
1502,320 days 00:00:00.000000000,327.01854481759955,18.083654078133645,16.630620768241076,0.40862538083035255,0.08035714285714286
1181,321 days 00:00:00.000000000,329.9265462394573,18.16388026384939,16.703432525094076,0.4100708388497904,0.08035714285714286
859,321 days 00:00:00.000000000,330.53855226263437,18.180719244920823,16.72915408895556,0.4107833223737557,0.08035714285714286
2144,321 days 00:00:00.000000000,330.79924286828765,18.187887256861025,16.73829721024092,0.4104245439808576,0.08035714285714286
220,321 days 00:00:00.000000000,329.6565724925052,18.156447132974698,16.705190461974933,0.40953700926589953,0.08035714285714286
543,321 days 00:00:00.000000000,329.8023968570139,18.16046246264158,16.710894226910934,0.409817619887693,0.08035714285714286
860,322 days 00:00:00.000000000,329.0346295887613,18.1393117176138,16.68907219877702,0.40906385517279553,0.08035714285714286
221,322 days 00:00:00.000000000,329.6787877170617,18.157058895015506,16.721184474787403,0.4100958269856303,0.07589285714285714
1822,322 days 00:00:00.000000000,329.96473133805364,18.16493136067554,16.7318494958543,0.4103209420866428,0.07589285714285714
2145,322 days 00:00:00.000000000,330.40643410690507,18.17708541287368,16.74879896738442,0.4104252958707857,0.07589285714285714
1823,323 days 00:00:00.000000000,327.529708228944,18.097781859359007,16.682133896480384,0.40842134207142117,0.07589285714285714
1503,323 days 00:00:00.000000000,327.6477237870205,18.10104206356696,16.6852004086475,0.4084124457844676,0.07589285714285714
2146,323 days 00:00:00.000000000,324.66922008755137,18.01857985767889,16.619984741916085,0.40622656093046644,0.07589285714285714
222,323 days 00:00:00.000000000,325.0844820716415,18.03009933615568,16.636799396958583,0.4068787608730471,0.07589285714285714
544,323 days 00:00:00.000000000,326.18225243064364,18.06051639435162,16.69411392983479,0.40794444930067975,0.07142857142857142
1824,324 days 00:00:00.000000000,326.89218264786126,18.08015991765176,16.728404810711545,0.40856048312275106,0.06696428571428571
223,324 days 00:00:00.000000000,325.934758698687,18.053663304124374,16.696849350870544,0.40794276950500347,0.06696428571428571
2147,324 days 00:00:00.000000000,323.19621761496313,17.97765884688446,16.63756804516279,0.40589329095986393,0.06696428571428571
1504,324 days 00:00:00.000000000,324.1684498218197,18.004678553693196,16.665904708897774,0.40645735755245205,0.06696428571428571
1182,324 days 00:00:00.000000000,327.91643768372535,18.10846315079569,16.789699322056467,0.4093976271704725,0.0625
1505,325 days 00:00:00.000000000,329.50789327705195,18.152352279444447,16.83929822565064,0.41081742926113435,0.0625
2148,325 days 00:00:00.000000000,330.1146625410173,18.169057833058304,16.861991134002544,0.4110225276424084,0.0625
861,325 days 00:00:00.000000000,327.4411779997957,18.095335807875898,16.800804468168923,0.4094304341684299,0.0625
1825,325 days 00:00:00.000000000,328.26651103586795,18.118126587367357,16.852737441550428,0.4103661415892308,0.05803571428571429
1183,325 days 00:00:00.000000000,331.2889201363484,18.201343910171808,16.9247961053787,0.4123816509830916,0.05803571428571429
1184,326 days 00:00:00.000000000,334.28735523207604,18.283526881651582,16.992638940636507,0.41386863394220647,0.05803571428571429
545,326 days 00:00:00.000000000,335.70656067738935,18.322296817740657,17.06221702822983,0.41515713394076037,0.05357142857142857
